start;end;stage;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0:00;2:30;1;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A
0:00;2:30;2;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B
0:00;2:30;3;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B
0:00;2:30;4;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A
0:00;2:30;5;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
0:00;2:30;6;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
0:00;2:30;7;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
0:00;2:30;8;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
2:00;4:30;1;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A
2:00;4:30;2;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B
2:00;4:30;3;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B
2:00;4:30;4;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A
2:00;4:30;5;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B
2:00;4:30;6;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B
2:00;4:30;7;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A
2:00;4:30;8;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A
4:00;6:30;1;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
4:00;6:30;2;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
4:00;6:30;3;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
4:00;6:30;4;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
4:00;6:30;5;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B
4:00;6:30;6;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B
4:00;6:30;7;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A
4:00;6:30;8;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A
6:00;8:30;1;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
6:00;8:30;2;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
6:00;8:30;3;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
6:00;8:30;4;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
6:00;8:30;5;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B
6:00;8:30;6;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B
6:00;8:30;7;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A
6:00;8:30;8;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A
8:00;10:30;1;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B
8:00;10:30;2;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B
8:00;10:30;3;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A
8:00;10:30;4;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A
8:00;10:30;5;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B
8:00;10:30;6;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B
8:00;10:30;7;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A
8:00;10:30;8;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A
10:00;12:30;1;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B
10:00;12:30;2;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B
10:00;12:30;3;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A
10:00;12:30;4;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A
10:00;12:30;5;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B
10:00;12:30;6;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B
10:00;12:30;7;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A
10:00;12:30;8;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A
12:00;14:30;1;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B
12:00;14:30;2;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B
12:00;14:30;3;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A
12:00;14:30;4;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A
12:00;14:30;5;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B
12:00;14:30;6;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B
12:00;14:30;7;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A
12:00;14:30;8;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A
14:00;16:30;1;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B
14:00;16:30;2;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B
14:00;16:30;3;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A
14:00;16:30;4;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A
14:00;16:30;5;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
14:00;16:30;6;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
14:00;16:30;7;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
14:00;16:30;8;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
16:00;18:30;1;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B
16:00;18:30;2;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B
16:00;18:30;3;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A
16:00;18:30;4;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A
16:00;18:30;5;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
16:00;18:30;6;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
16:00;18:30;7;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
16:00;18:30;8;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
18:00;20:30;1;5A;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B
18:00;20:30;2;1B;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B
18:00;20:30;3;5B;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A
18:00;20:30;4;1A;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A
18:00;20:30;5;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;2B
18:00;20:30;6;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;6B
18:00;20:30;7;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;2A
18:00;20:30;8;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;6A
20:00;22:30;1;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
20:00;22:30;2;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
20:00;22:30;3;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
20:00;22:30;4;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
20:00;22:30;5;7A;5B;3A;1B;7B;5A;3B;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;2B
20:00;22:30;6;3B;1A;7A;5B;3A;1B;7B;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;6B
20:00;22:30;7;7B;5A;3B;1A;7A;5B;3A;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;2A
20:00;22:30;8;3A;1B;7B;5A;3B;1A;7A;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;6A
22:00;0:30;1;6A;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B
22:00;0:30;2;2B;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A
22:00;0:30;3;6B;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A
22:00;0:30;4;2A;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B
22:00;0:30;5;8A;6B;4A;2B;8B;6A;4B;3A;1B;7B;5A;3B;1A;7A;5B;4A;2B;8B;6A;4B;2A;8A;6B;5A;3B;1A;7A;5B;3A;1B;3B
22:00;0:30;6;4B;2A;8A;6B;4A;2B;8B;7A;5B;3A;1B;7B;5A;3B;1A;8A;6B;4A;2B;8B;6A;4B;2A;1B;7B;5A;3B;1A;7A;5B;7B
22:00;0:30;7;8B;6A;4B;2A;8A;6B;4A;3B;1A;7A;5B;3A;1B;7B;5A;4B;2A;8A;6B;4A;2B;8B;6A;5B;3A;1B;7B;5A;3B;1A;3A
22:00;0:30;8;4A;2B;8B;6A;4B;2A;8A;7B;5A;3B;1A;7A;5B;3A;1B;8B;6A;4B;2A;8A;6B;4A;2B;1A;7A;5B;3A;1B;7B;5A;7A
