start;end;stage;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
00:00:00;02:30:00;1;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
00:00:00;02:30:00;2;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
00:00:00;02:30:00;3;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
00:00:00;02:30:00;4;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
00:00:00;02:30:00;5;2;14;10;6;3;15;11;7;4;16;12;8;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;1;13;9
00:00:00;02:30:00;6;10;6;2;14;11;7;3;15;12;8;4;16;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;9;5;1
00:00:00;02:30:00;7;14;10;6;2;15;11;7;3;16;12;8;4;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;13;9;5
00:00:00;02:30:00;8;6;2;14;10;7;3;15;11;8;4;16;12;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;5;1;13
02:00:00;04:30:00;1;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
02:00:00;04:30:00;2;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
02:00:00;04:30:00;3;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
02:00:00;04:30:00;4;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
02:00:00;04:30:00;5;3;15;11;7;4;16;12;8;5;1;13;9;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;2;14;10
02:00:00;04:30:00;6;11;7;3;15;12;8;4;16;13;9;5;1;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;10;6;2
02:00:00;04:30:00;7;15;11;7;3;16;12;8;4;1;13;9;5;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;14;10;6
02:00:00;04:30:00;8;7;3;15;11;8;4;16;12;9;5;1;13;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;6;2;14
04:00:00;06:30:00;1;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
04:00:00;06:30:00;2;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
04:00:00;06:30:00;3;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
04:00:00;06:30:00;4;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
04:00:00;06:30:00;5;4;16;12;8;5;1;13;9;6;2;14;10;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;3;15;11
04:00:00;06:30:00;6;12;8;4;16;13;9;5;1;14;10;6;2;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;11;7;3
04:00:00;06:30:00;7;16;12;8;4;1;13;9;5;2;14;10;6;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;15;11;7
04:00:00;06:30:00;8;8;4;16;12;9;5;1;13;10;6;2;14;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;7;3;15
06:00:00;08:30:00;1;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15
06:00:00;08:30:00;2;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
06:00:00;08:30:00;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11
06:00:00;08:30:00;4;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3
06:00:00;08:30:00;5;5;1;13;9;6;2;14;10;7;3;15;11;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;4;16;12
06:00:00;08:30:00;6;13;9;5;1;14;10;6;2;15;11;7;3;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;12;8;4
06:00:00;08:30:00;7;1;13;9;5;2;14;10;6;3;15;11;7;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;16;12;8
06:00:00;08:30:00;8;9;5;1;13;10;6;2;14;11;7;3;15;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;8;4;16
08:00:00;10:30:00;1;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
08:00:00;10:30:00;2;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
08:00:00;10:30:00;3;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
08:00:00;10:30:00;4;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
08:00:00;10:30:00;5;6;2;14;10;7;3;15;11;8;4;16;12;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;5;1;13
08:00:00;10:30:00;6;14;10;6;2;15;11;7;3;16;12;8;4;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;13;9;5
08:00:00;10:30:00;7;2;14;10;6;3;15;11;7;4;16;12;8;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;1;13;9
08:00:00;10:30:00;8;10;6;2;14;11;7;3;15;12;8;4;16;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;9;5;1
10:00:00;12:30:00;1;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
10:00:00;12:30:00;2;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
10:00:00;12:30:00;3;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
10:00:00;12:30:00;4;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
10:00:00;12:30:00;5;7;3;15;11;8;4;16;12;9;5;1;13;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;6;2;14
10:00:00;12:30:00;6;15;11;7;3;16;12;8;4;1;13;9;5;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;14;10;6
10:00:00;12:30:00;7;3;15;11;7;4;16;12;8;5;1;13;9;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;2;14;10
10:00:00;12:30:00;8;11;7;3;15;12;8;4;16;13;9;5;1;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;10;6;2
12:00:00;14:30:00;1;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
12:00:00;14:30:00;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
12:00:00;14:30:00;3;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
12:00:00;14:30:00;4;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
12:00:00;14:30:00;5;8;4;16;12;9;5;1;13;10;6;2;14;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;7;3;15
12:00:00;14:30:00;6;16;12;8;4;1;13;9;5;2;14;10;6;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;15;11;7
12:00:00;14:30:00;7;4;16;12;8;5;1;13;9;6;2;14;10;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;3;15;11
12:00:00;14:30:00;8;12;8;4;16;13;9;5;1;14;10;6;2;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;11;7;3
14:00:00;16:30:00;1;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3
14:00:00;16:30:00;2;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11
14:00:00;16:30:00;3;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15
14:00:00;16:30:00;4;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
14:00:00;16:30:00;5;9;5;1;13;10;6;2;14;11;7;3;15;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;8;4;16
14:00:00;16:30:00;6;1;13;9;5;2;14;10;6;3;15;11;7;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;16;12;8
14:00:00;16:30:00;7;5;1;13;9;6;2;14;10;7;3;15;11;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;4;16;12
14:00:00;16:30:00;8;13;9;5;1;14;10;6;2;15;11;7;3;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;12;8;4
