start;end;stage;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
00:00;02:30;1;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
00:00;02:30;2;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
00:00;02:30;3;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
00:00;02:30;4;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
00:00;02:30;5;11;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15
00:00;02:30;6;15;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3
00:00;02:30;7;3;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7
00:00;02:30;8;7;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11
02:00;04:30;1;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
02:00;04:30;2;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
02:00;04:30;3;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
02:00;04:30;4;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
02:00;04:30;5;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
02:00;04:30;6;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
02:00;04:30;7;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
02:00;04:30;8;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
04:00;06:30;1;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
04:00;06:30;2;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
04:00;06:30;3;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
04:00;06:30;4;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
04:00;06:30;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
04:00;06:30;6;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
