start;end;stage;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1:00;3:30;1;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
1:00;3:30;2;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
1:00;3:30;3;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
1:00;3:30;4;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
1:00;3:30;5;11;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15
1:00;3:30;6;15;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3
1:00;3:30;7;3;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7
1:00;3:30;8;7;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11
3:00;5:30;1;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
3:00;5:30;2;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
3:00;5:30;3;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
3:00;5:30;4;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
3:00;5:30;5;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
3:00;5:30;6;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
3:00;5:30;7;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
3:00;5:30;8;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
5:00;7:30;1;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
5:00;7:30;2;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
5:00;7:30;3;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
5:00;7:30;4;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
5:00;7:30;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
5:00;7:30;6;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
5:00;7:30;7;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
5:00;7:30;8;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
7:00;9:30;1;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3
7:00;9:30;2;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
7:00;9:30;3;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11
7:00;9:30;4;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15
7:00;9:30;5;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
7:00;9:30;6;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
7:00;9:30;7;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
7:00;9:30;8;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
9:00;11:30;1;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
9:00;11:30;2;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
9:00;11:30;3;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
9:00;11:30;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
9:00;11:30;5;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3
9:00;11:30;6;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
9:00;11:30;7;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11
9:00;11:30;8;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15
11:00;13:30;1;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
11:00;13:30;2;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
11:00;13:30;3;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
11:00;13:30;4;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
11:00;13:30;5;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
11:00;13:30;6;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
11:00;13:30;7;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
11:00;13:30;8;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
13:00;15:30;1;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
13:00;15:30;2;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
13:00;15:30;3;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
13:00;15:30;4;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
13:00;15:30;5;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
13:00;15:30;6;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
13:00;15:30;7;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
13:00;15:30;8;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
15:00;17:30;1;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
15:00;17:30;2;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11
15:00;17:30;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15
15:00;17:30;4;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3
15:00;17:30;5;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
15:00;17:30;6;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
15:00;17:30;7;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
15:00;17:30;8;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
17:00;19:30;1;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
17:00;19:30;2;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
17:00;19:30;3;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
17:00;19:30;4;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
17:00;19:30;5;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
